Opto 1 Onset,Opto 1 Offset,Opto 1 Duration
"16,812.50","21,796.25","4,983.75"
"26,895.75","27,879.50",983.75
"27,929.25","28,912.75",983.5
"28,962.50","29,946.25",983.75
"29,995.75","30,979.50",983.75
"31,029.00","32,012.75",983.75
"33,095.75","34,079.50",983.75
"34,129.00","35,112.75",983.75
"36,195.75","37,179.50",983.75
"37,229.00","38,212.75",983.75
"39,295.75","40,279.50",983.75
"40,329.00","41,312.75",983.75
"59,479.00","64,462.75","4,983.75"
"69,562.25","70,546.00",983.75
"70,595.75","71,579.25",983.5
"71,629.00","72,612.75",983.75
"73,695.75","74,679.25",983.5
"74,729.00","75,712.75",983.75
"75,762.25","76,746.00",983.75
"77,829.00","78,812.75",983.75
"78,862.25","79,846.00",983.75
"79,895.75","80,879.25",983.5
"81,962.25","82,946.00",983.75
"82,995.50","83,979.25",983.75
"84,029.00","85,012.75",983.75
"103,312.25","108,295.75","4,983.50"
"113,395.50","114,379.25",983.75
"114,428.75","115,412.50",983.75
"115,462.25","116,446.00",983.75
"117,528.75","118,512.50",983.75
"118,562.25","119,546.00",983.75
"119,595.50","120,579.25",983.75
"121,662.25","122,645.75",983.5
"122,695.50","123,679.25",983.75
"124,762.25","125,745.75",983.5
"125,795.50","126,779.25",983.75
"126,828.75","127,812.50",983.75
"146,778.75","151,762.50","4,983.75"
"156,862.00","157,845.75",983.75
"157,895.50","158,879.00",983.5
"158,928.75","159,912.50",983.75
"160,995.50","161,979.00",983.5
"162,028.75","163,012.50",983.75
"163,062.00","164,045.75",983.75
"164,095.50","165,079.00",983.5
"166,162.00","167,145.75",983.75
"167,195.25","168,179.00",983.75
"168,228.75","169,212.50",983.75
"169,262.00","170,245.75",983.75
"170,295.50","171,279.00",983.5
"172,362.00","173,345.75",983.75
"173,395.25","174,379.00",983.75
"174,428.75","175,412.50",983.75
"175,462.00","176,445.75",983.75
